H_NIVO.NUM_POSTE;H_NIVO.ALTI_LPNX;H_NIVO.DAT
4006400;1000;2021-12-11 06:00:00
4006400;2600;2021-12-24 06:00:00
4006400;1400;2021-12-25 06:00:00
4006400;1400;2021-12-26 06:00:00
4006400;1800;2021-12-28 06:00:00
4006400;2700;2021-12-29 06:00:00
4006400;1900;2022-01-05 06:00:00
4006400;1200;2022-01-08 06:00:00
4006400;2575;2022-02-17 06:00:00
4006400;1700;2022-02-21 06:00:00
4006400;1700;2022-02-22 06:00:00
4006400;1700;2022-03-13 06:00:00
4006400;1700;2022-03-14 06:00:00
4006400;2000;2022-03-15 06:00:00
4006400;1800;2022-03-30 06:00:00
4006400;1800;2022-04-01 06:00:00
4006400;1800;2022-04-02 06:00:00
4006400;1700;2022-04-04 06:00:00
4019404;2000;2021-12-25 06:00:00
4019404;1600;2021-12-25 12:00:00
4019404;1100;2021-12-28 06:00:00
4019404;2300;2021-12-29 06:00:00
4019404;1600;2022-01-05 06:00:00
4019404;1150;2022-01-08 06:00:00
4019404;1100;2022-01-10 06:00:00
4019404;1100;2022-02-14 06:00:00
4019404;1200;2022-02-15 06:00:00
4019404;1600;2022-02-21 06:00:00
4019404;1100;2022-02-22 06:00:00
4019404;1600;2022-02-28 06:00:00
4019404;1600;2022-03-06 06:00:00
4019404;1100;2022-03-13 06:00:00
4019404;1600;2022-03-13 12:00:00
4019404;1600;2022-03-30 06:00:00
4019404;1600;2022-03-30 12:00:00
4019404;1800;2022-03-31 06:00:00
4019404;1100;2022-04-02 06:00:00
4019404;1600;2022-04-03 12:00:00
4073400;1100;2021-12-10 06:00:00
4073400;1700;2021-12-25 12:00:00
4073400;2000;2021-12-28 06:00:00
4073400;2200;2021-12-29 06:00:00
4073400;1700;2022-01-05 06:00:00
4073400;1000;2022-01-08 06:00:00
4073400;1000;2022-01-09 06:00:00
4073400;1000;2022-01-10 06:00:00
4073400;1400;2022-02-14 06:00:00
4073400;1400;2022-02-15 06:00:00
4073400;1500;2022-02-21 06:00:00
4073400;1400;2022-02-22 06:00:00
4073400;1100;2022-03-05 06:00:00
