poste_nivo.num_poste;poste_nivo.nom_usuel;poste_nivo.alti;poste_nivo.lat_dg;poste_nivo.lon_dg;hist_reseau_poste.reseau_poste
4006400;La Foux d Allos;1900;44.289833;6.561667;51
4019404;Pra Loup;2100;44.360000;6.584667;51
4073400;LE SAUZE;1980;44.343833;6.695000;51
4193400;Maljasset;1908;44.593000;6.843333;51
5001400;ABRIES RM;2018;44.792833;6.947000;51
5026400;CEILLAC_NIVO;1665;44.671167;6.776167;51
5061400;GAP-BAYARD;1240;44.621500;6.084333;51
5063407;La Grave - La Meije;2420;45.025500;6.288667;51
5063410;LA GRAVE 3200 M;3196;45.006000;6.253000;51
5064403;Les Portes en Valgaudemar;1270;44.810000;6.195333;51
5079400;Le Monetier;2185;44.949833;6.501000;51
5085403;MONTGENEVRE-LE CHALVET;2134;44.938167;6.719500;51
5096402;Orcieres;2130;44.709333;6.316500;51
5098402;LES ORRES FONTAINES;1895;44.481667;6.562833;51
5101400;PELVOUX ST ANTOINE;1270;44.870833;6.487167;51
5110400;PUY ST VINCENT 1600;1680;44.818000;6.485833;51
5114402;REALLON _NIVO;1717;44.580667;6.352833;51
5119402;RISOUL;2050;44.616667;6.644167;51
5133400;Serre Chevalier;1905;44.924500;6.571333;51
5139405;Super_Devoluy;1915;44.665500;5.906667;51
5157400;ST VERAN RM;2140;44.705167;6.867833;51
5177402;VARS;2222;44.561000;6.670333;51
6056400;Estenc;1850;44.239167;6.753000;51
6073405;ISOLA;1912;44.189500;7.149000;51
6094400;Valberg;1630;44.087000;6.941333;51
6120400;Auron;1910;44.215333;6.913500;51
6163400;Val Casterino;1554;44.097500;7.505833;51
9023400;Ascou Pailheres;1500;42.730333;1.954000;51
9029400;Guzet;1384;42.778833;1.300833;51
9032402;Ax Bonascre;1715;42.692333;1.796500;51
9070400;Beille;1789;42.724000;1.690667;51
9135400;Goulier;1468;42.739500;1.513333;51
9140001;LE CHIOULA;1600;42.755000;1.863333;51
9193400;Mijanes;1530;42.726500;2.017000;51
9206400;Mont d Olmes;1472;42.843833;1.744167;51
9231400;Etang de L Hers;1280;42.807167;1.381167;51
9290400;SENTEIN EYLIE HAUT;1000;42.835333;0.934667;51
20007400;Vergio;1420;42.286833;8.891667;51
20023400;ASCO-STAGNU;1434;42.402667;8.922667;51
20031400;Bastelica;1623;41.999333;9.123167;51
20124402;GHISONI-CAPAGHJOLU;1670;42.077000;9.147167;51
25121400;CHAPELLE;1100;46.600000;6.116667;51
25380401;METABIEF_STATION;1036;46.766000;6.359167;51
26059400;FONT D'URLE;1425;44.907167;5.334333;51
31042400;Superbagneres;1763;42.770500;0.576333;51
31085400;Boutx le Mourtis;1456;42.911833;0.768167;51
31221400;Les Agudes;1569;42.786833;0.477667;51
